Utility Charateristics,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2012,1062,BARC Electric Coop Inc,A,Bundled,O,VA,Cooperative,"15,619.2","116,565","12,032","5,445.9","48,908",624,.,.,.,.,.,.,"21,065.1","165,473","12,656"
2012,1101,Bagley Public Utilities Comm,A,Bundled,O,MN,Municipal,696.7,"6,626",547,365.5,"3,668",143,"1,408.3","14,814",63,.,.,.,"2,470.5","25,108",753
2012,1148,City of Baldwin City- (KS),A,Bundled,O,KS,Municipal,"2,433.0","16,762","1,625","2,119.9","15,404",250,.,.,.,.,.,.,"4,552.9","32,166","1,875"
2012,1149,Baldwin County El Member Corp,A,Bundled,O,AL,Cooperative,"95,183.0","805,719","61,717","43,732.5","441,874","6,525",.,.,.,.,.,.,"138,915.5","1,247,593","68,242"
2012,1167,Baltimore Gas & Electric Co,A,Bundled,O,MD,Investor Owned,"1,222,667.6","9,273,225","833,783","335,766.9","2,912,064","65,950","15,381.7","156,606","3,030",0.0,0,0,"1,573,816.2","12,341,895","902,763"
2012,1167,Baltimore Gas & Electric Co,C,Delivery,O,MD,Investor Owned,"132,157.0","3,446,136","282,156","294,761.4","13,209,185","53,536","23,270.0","1,715,854","2,528","1,588.0","280,871",3,"451,776.4","18,652,046","338,223"
2012,1169,Bailey County Elec Coop Assn,A,Bundled,O,TX,Cooperative,"2,536.0","24,907","2,458","3,524.0","42,235",571,"24,155.0","294,225","4,497",.,.,.,"30,215.0","361,367","7,526"
2012,1175,"Bandera Electric Coop, Inc",A,Bundled,O,TX,Cooperative,"40,437.0","391,121","28,237","7,801.0","76,100","4,190","7,058.0","76,309",257,.,.,.,"55,296.0","543,530","32,684"
2012,1176,City of Bandon - (OR),A,Bundled,O,OR,Municipal,"2,653.0","34,629","2,781","2,179.0","27,842",975,131.0,"1,333",3,.,.,.,"4,963.0","63,804","3,759"
2012,1179,Bangor Hydro-Electric Co,C,Delivery,O,ME,Investor Owned,"54,872.0","603,526","101,489","44,035.0","609,417","17,531","10,680.0","299,697",43,.,.,.,"109,587.0","1,512,640","119,063"
2012,1181,City of Bangor - (WI),A,Bundled,O,WI,Municipal,"1,398.0","11,678","1,416",925.0,"7,497",468,681.0,"7,026",12,.,.,.,"3,004.0","26,201","1,896"
2012,1192,City of Banning - (CA),A,Bundled,O,CA,Municipal,"12,082.5","69,554","10,556","10,715.3","60,089","1,120","1,373.1","9,762",5,.,.,.,"24,170.9","139,405","11,681"
2012,1196,Village of Baraga,A,Bundled,O,MI,Municipal,390.0,"3,140",643,"2,053.0","15,698",134,0.0,0,0,0.0,0,0,"2,443.0","18,838",777
2012,1201,Barbourville Utility Comm,A,Bundled,O,KY,Municipal,"3,678.0","42,853","3,460",641.0,"7,668",520,"3,247.0","47,013",190,.,.,.,"7,566.0","97,534","4,170"
2012,1233,City of Barnesville - (MN),A,Bundled,O,MN,Municipal,"1,496.0","15,943","1,061",446.0,"4,627",128,.,.,.,.,.,.,"1,942.0","20,570","1,189"
2012,1251,Barron Electric Coop,A,Bundled,O,WI,Cooperative,"24,699.5","188,400","17,625","2,318.5","22,618",198,"5,609.9","84,049",122,.,.,.,"32,627.9","295,067","17,945"
2012,1273,"Bartlett Electric Coop, Inc",A,Bundled,O,TX,Cooperative,"14,543.8","139,015","9,675","3,173.5","30,264",837,632.1,"8,301",3,.,.,.,"18,349.4","177,580","10,515"
2012,1276,"Barrow Utils & Elec Coop, Inc",A,Bundled,O,AK,Cooperative,"1,364.0","11,511","1,471","3,929.0","38,069",400,.,.,.,.,.,.,"5,293.0","49,580","1,871"
