Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2013,1062,BARC Electric Coop Inc,A,Bundled,O,VA,Cooperative,PJM,"15,609.2","126,106","12,022","5,030.6","49,493",624,.,.,.,.,.,.,"20,639.8","175,599","12,646"
2013,1101,Bagley Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,714.9,"6,866",547,398.6,"4,046",140,"1,387.3","14,485",66,.,.,.,"2,500.8","25,397",753
2013,1148,City of Baldwin City- (KS),A,Bundled,O,KS,Municipal,KCPL,"2,261.5","16,236","1,625","2,040.4","15,429",255,.,.,.,.,.,.,"4,301.9","31,665","1,880"
2013,1149,Baldwin County El Member Corp,A,Bundled,O,AL,Cooperative,AEC,"96,800.0","833,798","62,921","42,755.0","437,291","6,540",.,.,.,.,.,.,"139,555.0","1,271,089","69,461"
2013,1167,Baltimore Gas & Electric Co,A,Bundled,O,MD,Investor Owned,PJM,"1,238,466.0","8,967,015","790,918","353,019.0","2,846,423","63,163","16,194.0","154,857","2,854",0.0,0,0,"1,607,679.0","11,968,295","856,935"
2013,1167,Baltimore Gas & Electric Co,C,Delivery,O,MD,Investor Owned,PJM,"165,178.0","4,109,741","327,851","332,039.0","13,213,375","56,294","24,836.0","1,184,017","2,614","1,810.0","292,350",3,"523,863.0","18,799,483","386,762"
2013,1169,Bailey County Elec Coop Assn,A,Bundled,O,TX,Cooperative,SPS,"2,943.0","25,722","3,427","3,915.5","39,434",745,"25,882.2","279,609","4,640",.,.,.,"32,740.7","344,765","8,812"
2013,1175,"Bandera Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,"42,574.0","405,422","28,327","13,474.0","137,445","4,627","1,656.0","20,620",51,.,.,.,"57,704.0","563,487","33,005"
2013,1176,City of Bandon - (OR),A,Bundled,O,OR,Municipal,BPAT,"2,535.0","33,068","2,721","2,206.0","27,692",914,139.0,"1,473",2,.,.,.,"4,880.0","62,233","3,637"
2013,1179,Emera Maine,C,Delivery,O,ME,Investor Owned,ISNE,"57,666.0","616,743","101,903","45,315.0","611,289","17,505","10,871.0","305,451",45,.,.,.,"113,852.0","1,533,483","119,453"
2013,1181,City of Bangor - (WI),A,Bundled,O,WI,Municipal,MISO,"1,487.0","12,330","1,422","1,278.0","10,372",439,356.0,"4,353",7,.,.,.,"3,121.0","27,055","1,868"
2013,1192,City of Banning - (CA),A,Bundled,O,CA,Municipal,CISO,"12,976.1","66,885","10,628","11,687.0","58,576","1,142","1,928.9","12,556",9,.,.,.,"26,592.0","138,017","11,779"
2013,1196,Village of Baraga - (MI),A,Bundled,O,MI,Municipal,MISO,385.0,"2,926",646,"2,088.0","15,876",135,0.0,0,0,0.0,0,0,"2,473.0","18,802",781
2013,1201,Barbourville Utility Comm,A,Bundled,O,KY,Municipal,LGEE,"3,782.3","41,651","3,411",659.2,"7,453",508,"3,339.0","45,694",184,.,.,.,"7,780.5","94,798","4,103"
2013,1233,City of Barnesville - (MN),A,Bundled,O,MN,Municipal,MISO,"1,678.0","17,924","1,177",477.0,"4,890",131,.,.,.,.,.,.,"2,155.0","22,814","1,308"
